trait,strain,delta,p,ci_low,ci_high,n,p_adj,delta_aligned,z
Photosyntetic rate (A) [_mol_m-2_s-1],DKB 58,3.743918818820754,0.11886087715470615,-0.9685521336288465,8.456389771270356,80,0.14857609644338268,3.743918818820754,0.48457469649683965
Photosyntetic rate (A) [_mol_m-2_s-1],DKB 64,5.6907998299975215,0.050974216649372864,-0.024311128280342764,11.405910788275385,80,0.09929113431396577,5.6907998299975215,0.8542690151865981
Photosyntetic rate (A) [_mol_m-2_s-1],DLGB 2,4.32748052783042,2.043125575595641e-05,2.368099263976392,6.286861791684448,80,0.00010215627877978204,4.32748052783042,0.5953875541842021
Stomatal conductance (gs) [mmol_m-2_s-1],AJ 1.2,0.15763484322133833,0.011939180000986475,0.035074884622417826,0.28019480182025885,80,0.018911337511046237,0.15763484322133833,1.0
Stomatal conductance (gs) [mmol_m-2_s-1],CMg,0.010508609962606935,0.515056079924751,-0.021250608503908523,0.04226782842912239,80,0.515056079924751,0.010508609962606935,0.0
Stomatal conductance (gs) [mmol_m-2_s-1],DKB 58,0.10675331363920278,0.015129070008836992,0.020820733848190637,0.19268589343021492,80,0.018911337511046237,0.10675331363920278,0.6541641252198922
Stomatal conductance (gs) [mmol_m-2_s-1],DKB 64,0.1330664788381168,0.012563379529444326,0.028850615569736685,0.2372823421064969,80,0.018911337511046237,0.1330664788381168,0.8330116673345642
Stomatal conductance (gs) [mmol_m-2_s-1],DLGB 2,0.11158488864035096,3.404892412738761e-09,0.07585529189670902,0.1473144853839929,80,1.7024462063693803e-08,0.11158488864035096,0.6870037819835608
Water Use Efficiency (A/E) [mmol_mol-1],AJ 1.2,1.9383141919437459,0.5039515463623964,-3.7678851516026852,7.6445135354901765,80,0.6299394329529954,1.9383141919437459,1.0
Water Use Efficiency (A/E) [mmol_mol-1],CMg,1.3263337150532584,0.07849038504934898,-0.1523256581784036,2.8049930882849203,80,0.3924519252467449,1.3263337150532584,0.5958905416788907
Water Use Efficiency (A/E) [mmol_mol-1],DKB 58,0.42392133553056643,0.8348004575421398,-3.5769647287132877,4.424807399774421,80,0.8348004575421398,0.42392133553056643,0.0
Water Use Efficiency (A/E) [mmol_mol-1],DKB 64,1.852747199883737,0.4525776498115245,-2.9993798517844494,6.7048742515519235,80,0.6299394329529954,1.852747199883737,0.9434974936010506
Water Use Efficiency (A/E) [mmol_mol-1],DLGB 2,1.1637430136598046,0.16940819008183172,-0.4997709415867839,2.827256968906393,80,0.4235204752045793,1.1637430136598046,0.48852692020846994
