b,AJ 1.2,CMg,DKB 58,DKB 64,DLGB 2
115,-0.0587556341989129,-0.009862790163896407,0.6680040946350169,-0.13524226389200714,0.31684107843993287
116,0.19009692786651794,-0.1369097308341369,0.343029196585963,0.05636973313394307,0.350662778319344
117,-0.04010247167449675,-0.01482135822409134,0.7586201194361435,-0.2902369616323638,0.039747213664075375
118,-0.12593801557130863,0.001994315232991739,0.46723581232656103,0.019038157742296676,0.6612839358204544
119,-0.14612609365760615,0.005765865380936718,0.2590730779040892,0.001359682602130563,0.2672561374402197
120,0.1494687592051524,-0.19506716451260378,0.45645272381660823,-0.20194730408032316,0.11777757019197173
121,-0.10779386919315978,-0.07919683917431393,0.5589495739263202,-0.06794760478671143,0.34942549661636574
122,-0.08085904688273995,-0.06809006030863214,0.5836651294451397,-0.1737767470743029,-0.05982575103450195
123,0.06784929211535332,-0.17003600886447826,0.4814977911703762,-0.1413828347827029,0.4123355588796251
124,0.011174986799208364,0.018085540125467682,0.6225011905673311,-0.0892997616439711,0.19989076403575523
125,0.017156225896047993,0.015852257868539596,0.25961727606959184,-0.036144221581388816,0.3376281819577434
126,0.23731735583761612,-0.08315252573611943,0.0813688322105997,-0.25848463591706505,0.0011230476204162954
127,-0.08402159518746721,-0.05355286099975391,0.5326369072262371,0.1467781808213998,0.11952828001018516
128,0.023008418596709213,0.024790247123946146,0.5506455616412022,0.18466937608880196,0.21406581708110925
129,0.1587152882897282,-0.03782364133301486,0.1652116444540945,0.1320731075472392,0.13352249593593662
130,0.13601552624827898,-0.05887241144492429,0.1996797850341495,0.06254331434829272,0.1187269390011482
131,-0.02516918306410474,-0.043113882024579796,0.39022474910533245,0.08656393311531221,0.7010224399224786
132,-0.20102849249221338,-0.011984726381639731,0.6148639519683813,0.056779506783175636,0.011656350578026206
133,-0.20983194175857997,0.06690005222492072,0.48500087322888186,-0.11248168510225023,0.3051295804438367
134,0.11350051244823092,0.05264939509682862,0.017720169716055723,-0.1982347098575241,0.3191063746904631
135,0.0872732307066948,-0.10497849822662882,0.4374184746763826,0.01502651491308567,0.1297271081123404
136,-0.12922312964899338,-0.09998824898160419,0.653638745323103,-0.17562159605912483,0.26837292215740194
137,0.033879677317989285,0.0778677122509349,0.2927384755389894,0.009339889692981084,0.20855683457423577
138,-0.09677486848457041,0.14415711126775937,0.4896883114918106,-0.10202346552796945,0.21581294838115578
139,-0.12294194406758038,-0.0001946148390485236,0.65321920583494,0.017802230213453778,0.3587298172194478
140,-0.04169756055713416,0.30837378754977185,0.269007352920967,-0.005954771983077483,0.40022376580750996
141,-0.16467599987112563,0.09283416208872093,0.5598959851108259,-0.23882297662046614,0.18591493140962706
142,-0.23021283407352797,-0.05018451026453147,0.42447808700200096,0.04269363187809412,0.46457068663753154
143,0.0305355602090422,0.16687238730609388,0.4913090481614798,-0.05516378139937199,0.267270113217022
144,-0.020208455525026127,-0.04805964046858862,0.7115869383123747,-0.0689859042979569,0.237204408281179
